Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Afghanistan,225659,7946,206248.0,11465.0,5537,195,1302555.0,31961.0,40754388
Albania,334726,3602,329428.0,1696.0,116777,1257,1941032.0,677173.0,2866374
Algeria,271852,6881,183061.0,81910.0,5995,152,230960.0,5093.0,45350148
Andorra,48015,165,47563.0,287.0,619844,2130,249838.0,3225256.0,77463
Angola,105384,1934,103419.0,31.0,3009,55,1499795.0,42818.0,35027343
Anguilla,3904,12,3879.0,13.0,256336,788,51382.0,3373736.0,15230
Antigua and Barbuda,9106,146,8954.0,6.0,91509,1467,18901.0,189943.0,99509
Argentina,10064948,130576,9932643.0,1729.0,218755,2838,35716069.0,776264.0,46010234
Armenia,449357,8751,435162.0,5444.0,151199,2945,3242901.0,1091164.0,2971966
Aruba,44224,292,42438.0,1494.0,410969,2714,177885.0,1653068.0,107609
Australia,11758693,22687,11731218.0,4788.0,451064,870,81916639.0,3142326.0,26068792
Austria,6081287,22542,6054934.0,3811.0,670727,2486,211273524.0,23302116.0,9066710
Azerbaijan,832312,10302,821881.0,129.0,80805,1000,7674567.0,745089.0,10300205
Bahamas,38084,844,36366.0,874.0,95087,2107,257839.0,643767.0,400516
Bahrain,727547,1573,725332.0,642.0,407822,882,10913376.0,6117422.0,1783983
Bangladesh,2045408,29477,1998448.0,17483.0,12183,176,15254399.0,90862.0,167885689
Barbados,109503,620,108647.0,236.0,380188,2153,801451.0,2782594.0,288023
Belarus,994037,7118,985592.0,1327.0,105381,755,13646641.0,1446722.0,9432800
Belgium,4809688,34376,4769079.0,6233.0,412202,2946,37018657.0,3172590.0,11668278
Belize,70782,688,70085.0,9.0,171722,1669,576016.0,1397453.0,412190
Benin,28014,163,27847.0,4.0,2191,13,604310.0,47268.0,12784726
Bermuda,18860,165,18685.0,10.0,304493,2664,1029558.0,16622128.0,61939
Bhutan,62697,21,61564.0,1112.0,79571,27,2303734.0,2923739.0,787941
Bolivia,1207206,22399,1177145.0,7662.0,100662,1868,2710261.0,225993.0,11992656
Bosnia and Herzegovina,403070,16352,379084.0,7634.0,124048,5032,1884721.0,580036.0,3249317
Botswana,330251,2801,327049.0,401.0,135284,1147,2026898.0,830300.0,2441162
Brazil,37789040,705313,36249161.0,834566.0,175474,3275,63776166.0,296146.0,215353593
British Virgin Islands,7305,64,,,238757,2092,107339.0,3508269.0,30596
Brunei,310522,225,243601.0,66696.0,697127,505,717784.0,1611437.0,445431
Bulgaria,1311707,38456,1271187.0,2064.0,191641,5618,11344922.0,1657500.0,6844597
Burkina Faso,22056,396,21596.0,64.0,998,18,248995.0,11265.0,22102838
Burundi,54241,38,53569.0,634.0,4296,3,345742.0,27386.0,12624840
CAR,15368,113,15200.0,55.0,3063,23,81294.0,16205.0,5016678
Cabo Verde,64238,415,63755.0,68.0,113159,731,401622.0,707482.0,567678
Cambodia,138940,3056,135884.0,0.0,8093,178,3091420.0,180062.0,17168639
Cameroon,125090,1974,122807.0,309.0,4482,71,1751774.0,62762.0,27911548
Canada,4716000,53541,4648330.0,14129.0,122850,1395,66388390.0,1729386.0,38388419
Caribbean Netherlands,11682,38,10476.0,1168.0,438398,1426,30126.0,1130559.0,26647
Cayman Islands,31472,37,8553.0,22882.0,467797,550,222773.0,3311280.0,67277
Chad,7701,194,4874.0,2633.0,442,11,191341.0,10988.0,17413580
Channel Islands,101717,228,101321.0,168.0,576421,1292,1252808.0,7099551.0,176463
Chile,5291598,64497,5227013.0,88.0,274885,3350,49979167.0,2596294.0,19250195
China,503302,5272,379053.0,118977.0,347,4,160000000.0,110461.0,1448471400
Colombia,6378000,142961,6190683.0,44356.0,123814,2775,36951507.0,717327.0,51512762
Comoros,9109,161,8939.0,9.0,10038,177,,,907419
Congo,25375,386,24006.0,983.0,4377,67,347815.0,59991.0,5797805
Cook Islands,7152,2,7150.0,0.0,407034,114,19690.0,1120596.0,17571
Costa Rica,1238883,9428,860711.0,368744.0,239058,1819,4659757.0,899158.0,5182354
Croatia,1274834,18318,1256146.0,370.0,314054,4513,5631499.0,1387313.0,4059286
Cuba,1115125,8530,1106533.0,62.0,98634,754,14345940.0,1268918.0,11305652
Curaçao,45986,295,44720.0,971.0,277812,1782,496693.0,3000640.0,165529
Cyprus,660854,1364,659490.0,0.0,540184,1115,9640118.0,7879860.0,1223387
Czechia,4646139,42826,4601635.0,1678.0,432731,3989,57265978.0,5333625.0,10736784
DPRK,4772813,74,4772739.0,0.0,183636,3,,,25990679
DRC,97697,1468,84489.0,11740.0,1026,15,846704.0,8890.0,95240792
Denmark,3183756,8814,3174422.0,520.0,545636,1511,129333107.0,22165247.0,5834950
Djibouti,15690,189,15427.0,74.0,15441,186,305941.0,301094.0,1016097
Dominica,15760,74,15673.0,13.0,217848,1023,229344.0,3170187.0,72344
Dominican Republic,667048,4384,644785.0,17879.0,60332,397,3740928.0,338350.0,11056370
Ecuador,1069114,36042,1033072.0,0.0,59024,1990,3082403.0,170173.0,18113361
Egypt,516023,24613,442182.0,49228.0,4861,232,3693367.0,34792.0,106156692
El Salvador,201785,4230,179410.0,18145.0,30805,646,2610114.0,398467.0,6550389
Equatorial Guinea,17229,183,16907.0,139.0,11512,122,365697.0,244342.0,1496662
Eritrea,10189,103,10086.0,0.0,2782,28,23693.0,6470.0,3662244
Estonia,619690,3001,524990.0,91699.0,468784,2270,3735634.0,2825937.0,1321910
Eswatini,74882,1427,73116.0,339.0,63201,1204,1048704.0,885119.0,1184817
Ethiopia,501032,7574,488171.0,5287.0,4147,63,5565340.0,46066.0,120812698
Faeroe Islands,34658,28,,,703959,569,778000.0,15802409.0,49233
Fiji,69117,885,67226.0,1006.0,75997,973,672883.0,739866.0,909466
Finland,1484646,10185,1473836.0,625.0,267265,1833,12108977.0,2179850.0,5554960
France,40138560,167642,39970918.0,0.0,612013,2556,271490188.0,4139547.0,65584518
French Guiana,98041,420,11254.0,86367.0,312065,1337,651257.0,2072951.0,314169
French Polynesia,78623,649,,,276682,2284,,,284164
Gabon,48992,307,48674.0,11.0,21013,132,1621909.0,695641.0,2331533
Gambia,12626,372,12189.0,65.0,4935,145,155686.0,60851.0,2558482
Georgia,1855289,17132,1776548.0,61609.0,467476,4317,16920079.0,4263340.0,3968738
Germany,38428685,174352,38240600.0,13733.0,458119,2078,122332384.0,1458359.0,83883596
Ghana,171740,1462,170255.0,23.0,5301,45,2538052.0,78346.0,32395450
Gibraltar,20550,113,16579.0,3858.0,609720,3353,534283.0,15852213.0,33704
Greece,6101379,37089,6064290.0,0.0,591412,3595,102228365.0,9909078.0,10316637
Greenland,11971,21,2761.0,9189.0,210117,369,164926.0,2894810.0,56973
Grenada,19693,238,19358.0,97.0,173545,2097,182981.0,1612523.0,113475
Guadeloupe,203235,1021,,,508349,2554,938039.0,2346306.0,399794
Guatemala,1276878,20257,1255474.0,1147.0,68708,1090,7593848.0,408622.0,18584039
Guinea,38563,468,37757.0,338.0,2781,34,660107.0,47607.0,13865691
Guinea-Bissau,9614,177,8929.0,508.0,4659,86,145231.0,70385.0,2063367
Guyana,73385,1299,72013.0,73.0,92419,1636,733218.0,923396.0,794045
Haiti,34306,860,33372.0,74.0,2937,74,132422.0,11337.0,11680283
Honduras,473547,11161,,,46330,1092,1660662.0,162472.0,10221247
Hong Kong,2918626,14216,2901887.0,2523.0,383813,1869,76127725.0,10011143.0,7604299
Hungary,2203761,48881,2152155.0,2725.0,229409,5088,11394556.0,1186160.0,9606259
Iceland,209191,229,,,605661,663,1996384.0,5780036.0,345393
India,44997917,531930,44465352.0,635.0,31990,378,930797975.0,661721.0,1406631776
Indonesia,6813287,161918,6646676.0,4693.0,24409,580,114158919.0,408975.0,279134505
Iran,7613757,146329,7374684.0,92744.0,88509,1701,56934517.0,661854.0,86022837
Iraq,2465545,25375,2439497.0,673.0,58474,602,19544451.0,463523.0,42164965
Ireland,1719064,9200,1706408.0,3456.0,342429,1833,13083449.0,2606161.0,5020199
Isle of Man,38008,116,,,443335,1353,150753.0,1758422.0,85732
Israel,4834948,12645,4798473.0,23830.0,518437,1356,41373364.0,4436346.0,9326000
Italy,25977012,191370,25653509.0,132133.0,431062,3176,291154734.0,4831420.0,60262770
Ivory Coast,88338,835,87497.0,6.0,3184,30,1690934.0,60951.0,27742298
Jamaica,155860,3596,103032.0,49232.0,52213,1205,1183986.0,396633.0,2985094
Japan,33803572,74694,,,269169,595,100414883.0,799578.0,125584838
Jordan,1746997,14122,1731007.0,1868.0,169597,1371,17201885.0,1669945.0,10300869
Kazakhstan,1411831,13848,1383020.0,14963.0,73514,721,11575012.0,602707.0,19205043
Kenya,343955,5689,337309.0,957.0,6119,101,3967062.0,70569.0,56215221
Kiribati,5085,24,2703.0,2358.0,41201,194,,,123419
Kuwait,666153,2570,660237.0,3346.0,152078,587,8455743.0,1930391.0,4380326
Kyrgyzstan,206897,2991,196406.0,7500.0,30750,445,1907195.0,283460.0,6728271
Laos,218849,758,,,29254,101,1233207.0,164845.0,7481023
Latvia,978499,6392,971406.0,701.0,529251,3457,7880891.0,4262621.0,1848837
Lebanon,1239904,10947,1087587.0,141370.0,185480,1638,4795578.0,717380.0,6684849
Lesotho,34790,723,25980.0,8087.0,15990,332,431221.0,198199.0,2175699
Liberia,8090,295,7783.0,12.0,1525,56,139824.0,26356.0,5305117
Libya,507269,6437,500831.0,1.0,72048,914,2483848.0,352782.0,7040745
Liechtenstein,21477,94,21352.0,31.0,559486,2449,112457.0,2929559.0,38387
Lithuania,1325025,9704,1313009.0,2312.0,497810,3646,10482120.0,3938118.0,2661708
Luxembourg,319959,1232,316690.0,2037.0,498091,1918,4587145.0,7140959.0,642371
Macao,16123,123,3487.0,12513.0,24155,184,7850.0,11760.0,667490
Madagascar,68319,1425,66862.0,32.0,2341,49,531329.0,18210.0,29178077
Malawi,88908,2686,85651.0,571.0,4406,133,624784.0,30959.0,20180839
Malaysia,5123801,37165,5074097.0,12539.0,154419,1120,68437185.0,2062537.0,33181072
Maldives,186694,316,163687.0,22691.0,345100,584,2213831.0,4092223.0,540985
Mali,33152,743,32332.0,77.0,1544,35,804909.0,37483.0,21473764
Malta,120296,861,118765.0,670.0,270917,1939,2151055.0,4844358.0,444033
Marshall Islands,16133,17,16109.0,7.0,268628,283,,,60057
Martinique,230354,1102,,,615777,2946,828928.0,2215870.0,374087
Mauritania,63715,997,62471.0,247.0,12998,203,1009957.0,206030.0,4901981
Mauritius,42888,1051,41155.0,682.0,33645,824,358675.0,281374.0,1274727
Mayotte,42027,188,,,146815,657,176919.0,618038.0,286259
Mexico,7633355,334336,6885378.0,413641.0,58021,2541,20013810.0,152124.0,131562772
Micronesia,26530,65,,,225808,553,82430.0,701598.0,117489
Moldova,621065,12126,504142.0,104797.0,154757,3022,3216305.0,801437.0,4013171
Monaco,16918,67,15992.0,859.0,425257,1684,78646.0,1976875.0,39783
Mongolia,1010975,2179,1008796.0,0.0,299275,645,4030048.0,1193000.0,3378078
Montenegro,292510,2828,289091.0,591.0,465817,4504,2764972.0,4403172.0,627950
Morocco,1275864,16297,1256151.0,3416.0,33777,431,13001033.0,344191.0,37772756
Mozambique,233417,2243,228805.0,2369.0,7054,68,1371127.0,41437.0,33089461
Myanmar,641217,19495,619922.0,1800.0,11611,353,11207577.0,202936.0,55227143
Namibia,171998,4098,167099.0,801.0,65302,1556,1062663.0,403460.0,2633874
Nauru,5393,1,5347.0,45.0,494635,92,20509.0,1881042.0,10903
Nepal,1003434,12031,991322.0,81.0,33198,398,6047766.0,200088.0,30225582
Netherlands,8617412,22992,8594021.0,399.0,500679,1336,25984435.0,1509718.0,17211447
New Caledonia,79922,314,79605.0,3.0,274726,1079,98964.0,340182.0,290915
New Zealand,2461379,4775,2454626.0,1978.0,502507,975,7768604.0,1586011.0,4898203
Nicaragua,18491,225,4225.0,14041.0,2728,33,,,6779100
Niger,9931,312,8890.0,729.0,381,12,254538.0,9759.0,26083660
Nigeria,266675,3155,259953.0,3567.0,1230,15,5708974.0,26339.0,216746934
North Macedonia,348411,9941,337068.0,1402.0,167400,4776,2226216.0,1069626.0,2081304
Norway,1487386,5631,1481327.0,428.0,269876,1022,11002430.0,1996315.0,5511370
Oman,399449,4628,384669.0,10152.0,75028,869,25000000.0,4695724.0,5323993
Pakistan,1581770,30664,1538689.0,12417.0,6893,134,30589153.0,133292.0,229488994
